Metric,Units,Region,Type,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30,year31,year32,year33,year34,year35,year36,year37,year38,year39,year40
costsPerTree,dollars,Southwest desert,Small,50.63305462,5.90723153,8.860847295,11.81446306,14.76807882,14.65013495,14.53219107,14.4142472,14.29630332,14.17835945,14.36405832,14.54975718,14.73545605,14.92115492,15.10685379,16.34150031,17.57614683,18.81079335,20.04543987,21.28008639,21.37795472,21.47582304,21.57369136,21.67155968,21.769428,21.85474911,21.94007021,22.02539131,22.11071241,22.19603351,22.02790075,21.85976799,21.69163524,21.52350248,21.35536972,21.58372914,21.81208855,22.04044797,22.26880739,22.49716681
costsPerTree,dollars,Southwest desert,Med,50.75350794,6.148138168,9.222207253,12.29627634,15.37034542,16.62004861,17.86975179,19.11945498,20.36915817,21.61886136,22.19352407,22.76818678,23.34284949,23.9175122,24.49217491,24.60008101,24.7079871,24.8158932,24.9237993,25.0317054,25.3328387,25.633972,25.93510529,26.23623859,26.53737189,26.80086353,27.06435516,27.3278468,27.59133843,27.85483007,28.51983277,29.18483547,29.84983817,30.51484087,31.17984357,31.32790077,31.47595798,31.62401518,31.77207239,31.92012959
costsPerTree,dollars,Southwest desert,Large,50.45237464,5.545871572,8.318807358,11.09174314,13.86467893,13.8345656,13.80445227,13.77433894,13.74422561,13.71411228,15.0792499,16.44438752,17.80952513,19.17466275,20.53980037,20.76815979,20.99651921,21.22487862,21.45323804,21.68159746,21.94759854,22.21359962,22.4796007,22.74560178,23.01160286,23.3152456,23.61888834,23.92253109,24.22617383,24.52981657,25.30774426,26.08567194,26.86359963,27.64152732,28.419455,29.43327044,30.44708588,31.46090131,32.47471675,33.48853219
costsPerTree,dollars,Southwest desert,Conifer,50.24158133,5.124284955,7.686427433,10.24856991,12.81071239,13.09427958,13.37784677,13.66141395,13.94498114,14.22854833,15.65642205,17.08429578,18.5121695,19.94004322,21.36791694,22.17093907,22.9739612,23.77698332,24.58000545,25.38302758,25.59883978,25.81465197,26.03046417,26.24627637,26.46208857,26.63022132,26.79835408,26.96648684,27.1346196,27.30275236,27.42320567,27.54365899,27.66411231,27.78456563,27.90501895,28.59762554,29.29023212,29.98283871,30.67544529,31.36805188
costsPerTree,dollars,Inland Empire,Small,28.02180658,5.187339876,7.781009814,10.37467975,12.96834969,13.01385267,13.05935565,13.10485863,13.15036161,13.1958646,13.29222385,13.38858311,13.48494236,13.58130161,13.67766087,13.77937342,13.88108596,13.98279851,14.08451106,14.1862236,14.2906128,14.39500199,14.49939118,14.60378037,14.70816957,15.82700758,16.94584559,18.0646836,19.18352161,20.30235963,21.30074857,22.29913752,23.29752646,24.2959154,25.29430435,25.66368149,26.03305863,26.40243578,26.77181292,27.14119006
costsPerTree,dollars,Inland Empire,Med,29.7990995,8.741925714,13.11288857,17.48385143,21.85481429,23.41262224,24.97043019,26.52823814,28.08604609,29.64385404,30.05070422,30.45755441,30.8644046,31.27125478,31.67810497,32.23217068,32.7862364,33.34030211,33.89436783,34.44843354,34.65721193,34.86599031,35.0747687,35.28354708,35.49232547,35.61009789,35.72787031,35.84564273,35.96341516,36.08118758,36.11330733,36.14542708,36.17754683,36.20966658,36.24178634,36.19093006,36.14007379,36.08921752,36.03836124,35.98750497
costsPerTree,dollars,Inland Empire,Large,29.82318932,8.790105342,13.18515801,17.58021068,21.97526335,23.98274783,25.9902323,27.99771677,30.00520124,32.01268571,33.00304472,33.99340373,34.98376273,35.97412174,36.96448075,37.87454037,38.7846,39.69465963,40.60471925,41.51477888,41.95374882,42.39271876,42.8316887,43.27065863,43.70962857,43.57847292,43.44731727,43.31616161,43.18500596,43.05385031,43.33489814,43.61594596,43.89699379,44.17804161,44.45908944,45.75190944,47.04472944,48.33754944,49.63036944,50.92318944
costsPerTree,dollars,Northern California Coast,Small,32.73472857,2.426082951,3.639124427,4.852165902,6.065207378,6.61520647,7.165205562,7.715204654,8.265203746,8.815202838,8.939115677,9.063028516,9.186941355,9.310854193,9.434767032,9.554332052,9.673897072,9.793462092,9.913027112,10.03259213,12.77823977,15.52388741,18.26953506,21.0151827,23.76083034,23.77387379,23.78691725,23.79996071,23.81300416,23.82604762,23.83474326,23.8434389,23.85213453,23.86083017,23.86952581,23.87387363,23.87822145,23.88256927,23.88691709,23.8912649
costsPerTree,dollars,Northern California Coast,Med,32.71516338,2.386952581,3.580428871,4.773905162,5.967381452,6.578250009,7.189118566,7.799987123,8.410855679,9.021724236,9.20650654,9.391288843,9.576071147,9.76085345,9.945635754,12.85650051,15.76736527,18.67823003,21.58909479,24.49995955,24.57169856,24.64343758,24.71517659,24.7869156,24.85865461,24.9238719,24.98908918,25.05430646,25.11952375,25.18474103,28.40430093,31.62386083,34.84342074,38.06298064,41.28254054,41.19993198,41.11732342,41.03471486,40.9521063,40.86949774
costsPerTree,dollars,Northern California Coast,Large,32.72385902,2.404343857,3.606515785,4.808687713,6.010859642,9.595636332,13.18041302,16.76518971,20.3499664,23.93474309,24.0521342,24.16952531,24.28691643,24.40430754,24.52169865,24.63256803,24.74343741,24.85430679,24.96517617,25.07604556,25.18256712,25.28908868,25.39561025,25.50213181,25.60865337,29.00429994,32.39994651,35.79559308,39.19123964,42.58688621,42.55427757,42.52166893,42.48906029,42.45645165,42.423843,42.38688654,42.34993008,42.31297362,42.27601716,42.2390607
